,Height,Flow,Distance_water_source_x,Distance_water_source_y,Zone
92,5.8,2.6,4.0,1.2,Standard
93,5.0,2.3,3.3,1.0,Standard
94,5.6,2.7,4.2,1.3,Standard
95,5.7,3.0,4.2,1.2,Standard
96,5.7,2.9,4.2,1.3,Standard
97,6.2,2.9,4.3,1.3,Standard
98,5.1,2.5,3.0,1.1,Standard
99,5.7,2.8,4.1,1.3,Standard
100,6.3,3.3,6.0,2.5,Not favorable
101,5.8,2.7,5.1,1.9,Not favorable
102,7.1,3.0,5.9,2.1,Not favorable
103,6.3,2.9,5.6,1.8,Not favorable
104,6.5,3.0,5.8,2.2,Not favorable
105,7.6,3.0,6.6,2.1,Not favorable
106,4.9,2.5,4.5,1.7,Not favorable
107,7.3,2.9,6.3,1.8,Not favorable
108,6.7,2.5,5.8,1.8,Not favorable
109,7.2,3.6,6.1,2.5,Not favorable
110,6.5,3.2,5.1,2.0,Not favorable
111,6.4,2.7,5.3,1.9,Not favorable
112,6.8,3.0,5.5,2.1,Not favorable
113,5.7,2.5,5.0,2.0,Not favorable
114,5.8,2.8,5.1,2.4,Not favorable
115,6.4,3.2,5.3,2.3,Not favorable
116,6.5,3.0,5.5,1.8,Not favorable
117,7.7,3.8,6.7,2.2,Not favorable
118,7.7,2.6,6.9,2.3,Not favorable
119,6.0,2.2,5.0,1.5,Not favorable
120,6.9,3.2,5.7,2.3,Not favorable
121,5.6,2.8,4.9,2.0,Not favorable
122,7.7,2.8,6.7,2.0,Not favorable
123,6.3,2.7,4.9,1.8,Not favorable
124,6.7,3.3,5.7,2.1,Not favorable
125,7.2,3.2,6.0,1.8,Not favorable
126,6.2,2.8,4.8,1.8,Not favorable
127,6.1,3.0,4.9,1.8,Not favorable
128,6.4,2.8,5.6,2.1,Not favorable
129,7.2,3.0,5.8,1.6,Not favorable
130,7.4,2.8,6.1,1.9,Not favorable
131,7.9,3.8,6.4,2.0,Not favorable
132,6.4,2.8,5.6,2.2,Not favorable
133,6.3,2.8,5.1,1.5,Not favorable
134,6.1,2.6,5.6,1.4,Not favorable
135,7.7,3.0,6.1,2.3,Not favorable
136,6.3,3.4,5.6,2.4,Not favorable
137,6.4,3.1,5.5,1.8,Not favorable
138,6.0,3.0,4.8,1.8,Not favorable
139,6.9,3.1,5.4,2.1,Not favorable
140,6.7,3.1,5.6,2.4,Not favorable
141,6.9,3.1,5.1,2.3,Not favorable
142,5.8,2.7,5.1,1.9,Not favorable
143,6.8,3.2,5.9,2.3,Not favorable
144,6.7,3.3,5.7,2.5,Not favorable
145,6.7,3.0,5.2,2.3,Not favorable
146,6.3,2.5,5.0,1.9,Not favorable
147,6.5,3.0,5.2,2.0,Not favorable
148,6.2,3.4,5.4,2.3,Not favorable
149,5.9,3.0,5.1,1.8,Not favorable
